Agent Name, Exit Name, Position-X, Position-Z, Exit Time (Seconds)
SmartAgent3D (4), exit (1), 20.44-X, 3.2-Z, 4.5 seconds
SmartAgent3D (9), exit, -20.44-X, 1.45-Z, 4.52 seconds
SmartAgent3D (5), exit (1), 20.44-X, 3.2-Z, 4.7 seconds
SmartAgent3D (10), exit (1), -20.44-X, 3.2-Z, 5.1 seconds
SmartAgent3D (3), exit, 20.44-X, 1.45-Z, 5.18 seconds
SmartAgent3D (2), exit, 20.44-X, 1.45-Z, 5.8 seconds
SmartAgent3D (7), exit, -20.44-X, 1.45-Z, 7.06 seconds
SmartAgent3D (11), exit (1), -20.44-X, 3.2-Z, 7.1 seconds
SmartAgent3D (8), exit, -20.44-X, 1.45-Z, 7.14 seconds
SmartAgent3D (6), exit (1), 20.44-X, 3.2-Z, 7.16 seconds
SmartAgent3D (0), exit, -20.44-X, 1.45-Z, 8.58 seconds
SmartAgent3D (1), exit, -20.44-X, 1.45-Z, 9.9 seconds
