Object Name, Agent Name, Position-X, Position-Z, Time (Seconds)
room node 22, smart agent 22, -16.00, 8.33, 0.00
room node 20, smart agent 20, -16.00, -3.67, 0.00
room node 10, smart agent 10, -15.89, -18.99, 0.00
room node 8, smart agent 8, -15.89, -30.99, 0.00
room node 21, smart agent 21, -7.00, 8.33, 0.00
room node 19, smart agent 19, -7.00, -3.67, 0.00
room node 9, smart agent 9, -6.89, -18.99, 0.00
room node 7, smart agent 7, -6.89, -30.99, 0.00
room node 14, smart agent 14, -1.19, -6.09, 0.00
room node 11, smart agent 11, -1.14, 10.71, 0.00
room node 1, smart agent 1, 0.05, -19.06, 0.00
room node 2, smart agent 2, 0.17, -32.00, 0.00
room node 13, smart agent 13, 1.22, -1.66, 0.00
room node 12, smart agent 12, 1.43, 6.73, 0.00
room node 16, smart agent 16, 7.00, -3.67, 0.00
room node 18, smart agent 18, 7.00, 8.33, 0.00
room node 4, smart agent 4, 7.11, -30.99, 0.00
room node 6, smart agent 6, 7.11, -18.99, 0.00
room node 15, smart agent 15, 16.00, -3.67, 0.00
room node 17, smart agent 17, 16.00, 8.33, 0.00
room node 3, smart agent 3, 16.11, -30.99, 0.00
room node 5, smart agent 5, 16.11, -18.99, 0.00
stair 1:F2, smart agent 1, 1.28, -17.07, 0.94
stair 1:F1, smart agent 1, 1.22, 4.24, 0.94
door 28, smart agent 13, 0.19, 0.20, 1.02
door 27, smart agent 13, 0.06, 0.20, 1.04
door 26, smart agent 12, -0.38, 6.77, 1.34
door 30, smart agent 14, -0.50, -2.61, 1.36
