Agent Name, Exit Name, Position-X, Position-Z, Exit Time (Seconds)
SmartAgent3D(Clone), exit 3, -20.44, 1.45, 4.58
SmartAgent3D(Clone), exit 2, 20.44, 3.20, 4.62
SmartAgent3D(Clone), exit 1, 20.44, 1.45, 4.66
SmartAgent3D(Clone), exit 4, -20.44, 3.20, 4.66
SmartAgent3D(Clone), exit 1, 20.44, 1.45, 4.92
SmartAgent3D(Clone), exit 2, 20.44, 3.20, 4.96
SmartAgent3D(Clone), exit 3, -20.44, 1.45, 7.14
SmartAgent3D(Clone), exit 4, -20.44, 3.20, 7.16
SmartAgent3D(Clone), exit 2, 20.44, 3.20, 7.16
SmartAgent3D(Clone), exit 3, -20.44, 1.45, 7.30
SmartAgent3D(Clone), exit 3, -20.44, 1.45, 9.72
SmartAgent3D(Clone), exit 3, -20.44, 1.45, 9.88
