Object Name, Agent Name, Position-X, Position-Z, Time (Seconds)
module node 10, smart agent 1, -15.18, -0.40, 0.96
module node 3, smart agent 2, -2.12, -2.12, 1.06
door 5, smart agent 1, -13.74, -0.40, 1.44
door 2, smart agent 2, -3.14, -3.14, 1.54
module node 10, smart agent 1, -15.18, -0.40, 2.36
module node 3, smart agent 2, -2.12, -2.12, 2.42
module node 13, smart agent 1, -18.18, 2.60, 3.80
module node 2, smart agent 2, 2.12, -2.12, 3.86
door 8, smart agent 1, -18.18, 4.04, 4.26
door 1, smart agent 2, 3.14, -3.14, 4.32
door 8, smart agent 1, -18.18, 4.04, 4.38
module node 2, smart agent 2, 2.12, -2.12, 5.24
door 8, smart agent 1, -18.18, 4.04, 5.28
module node 13, smart agent 1, -18.18, 2.60, 5.70
module node 5, smart agent 2, 2.12, 2.12, 6.82
module node 12, smart agent 1, -21.18, -0.40, 7.24
door 4, smart agent 2, 3.14, 3.14, 7.30
door 7, smart agent 1, -22.62, -0.40, 7.72
door 4, smart agent 2, 3.14, 3.14, 8.84
door 7, smart agent 1, -22.62, -0.40, 9.26
module node 5, smart agent 2, 2.12, 2.12, 9.36
module node 12, smart agent 1, -21.18, -0.40, 10.14
module node 4, smart agent 2, -2.12, 2.12, 10.86
door 3, smart agent 2, -3.14, 3.14, 11.34
door 3, smart agent 2, -3.14, 3.14, 11.38
module node 11, smart agent 1, -18.18, -3.40, 11.72
door 6, smart agent 1, -18.18, -4.84, 12.18
door 6, smart agent 1, -18.18, -4.84, 13.74
door 6, smart agent 1, -18.18, -4.84, 14.20
