Agent Name, Exit Name, Position-X, Position-Z, Exit Time (Seconds)
SmartAgent3D (4), exit 2, 20.21, -1.23, 4.44
SmartAgent3D (9), exit 3, -20.67, -2.98, 4.48
SmartAgent3D (10), exit 4, -20.67, -1.23, 4.8
SmartAgent3D (5), exit 2, 20.21, -1.23, 4.88
SmartAgent3D (3), exit 1, 20.21, -2.98, 5.12
SmartAgent3D (2), exit 1, 20.21, -2.98, 5.88
SmartAgent3D (8), exit 3, -20.67, -2.98, 6.98
SmartAgent3D (6), exit 2, 20.21, -1.23, 7.34
SmartAgent3D (11), exit 4, -20.67, -1.23, 7.36
SmartAgent3D (0), exit 4, -20.67, -1.23, 9.02
SmartAgent3D (1), exit 3, -20.67, -2.98, 9.8
