Agent Name, Exit Name, Position-X, Position-Z, Exit Time (Seconds)
SmartAgent3D(Clone), exit 3, -20.44, 1.45, 4.60
SmartAgent3D(Clone), exit 1, 20.44, 1.45, 4.60
SmartAgent3D(Clone), exit 4, -20.44, 3.20, 4.64
SmartAgent3D(Clone), exit 2, 20.44, 3.20, 4.66
SmartAgent3D(Clone), exit 1, 20.44, 1.45, 4.88
SmartAgent3D(Clone), exit 2, 20.44, 3.20, 4.94
SmartAgent3D(Clone), exit 3, -20.44, 1.45, 7.12
SmartAgent3D(Clone), exit 2, 20.44, 3.20, 7.16
SmartAgent3D(Clone), exit 4, -20.44, 3.20, 7.20
SmartAgent3D(Clone), exit 3, -20.44, 1.45, 7.24
SmartAgent3D(Clone), exit 4, -20.44, 3.20, 9.08
SmartAgent3D(Clone), exit 3, -20.44, 1.45, 9.68
